fecha,P_mm,ETP_mm,T_min_C,T_max_C,Q_m3s,Q_mm
2008-04-02,0.0,14.536,27.93,37.22,7.24,0.3301
2008-04-03,0.0,14.36,27.19,36.51,7.24,0.3301
2008-04-04,0.0,15.119,26.32,36.62,7.24,0.3301
2008-04-05,9.156,11.409,25.13,32.11,7.24,0.3301
2008-04-06,8.263,12.911,23.96,32.7,7.24,0.3301
2008-04-07,9.967,13.192,24.68,33.53,7.24,0.3301
2008-04-08,21.766,15.05,25.5,35.99,7.24,0.3301
2008-04-09,9.755,11.22,26.31,32.9,7.28,0.332
2008-04-10,17.812,11.131,24.64,31.5,7.52,0.3429
2008-04-11,12.855,11.2,24.12,31.17,7.74,0.3529
2008-04-12,0.0,9.842,24.57,30.23,10.64,0.4852
2008-04-13,7.826,10.943,25.08,31.68,11.36,0.518
2008-04-14,2.601,10.181,24.49,30.5,11.52,0.5253
2008-04-15,4.455,11.242,24.45,31.5,10.96,0.4998
2008-04-16,0.19,10.603,24.61,31.02,10.0,0.456
2008-04-17,14.294,10.766,24.36,30.99,9.12,0.4159
2008-04-18,10.457,10.227,24.52,30.61,8.24,0.3757
2008-04-19,16.592,8.318,24.56,28.9,11.52,0.5253
2008-04-20,5.39,13.058,23.82,32.91,15.6,0.7113
2008-04-21,19.963,10.975,23.94,30.91,14.4,0.6566
2008-04-22,16.968,11.197,24.02,31.2,14.32,0.653
2008-04-23,16.012,10.83,24.27,31.05,14.24,0.6493
2008-04-24,34.504,9.32,24.04,29.43,23.4,1.067
2008-04-25,17.922,10.925,24.39,31.26,66.0,3.0095
2008-04-26,6.288,10.867,24.13,31.02,98.7,4.5006
2008-04-27,42.985,8.811,24.32,29.21,117.1,5.3396
2008-04-28,0.0,12.668,24.66,33.26,121.8,5.5539
2008-04-29,0.0,12.392,25.03,33.27,119.2,5.4353
2008-04-30,0.0,12.264,24.86,33.03,91.62,4.1777
2008-05-01,6.426,11.956,24.84,32.72,56.54,2.5781
2008-05-02,14.842,11.736,24.18,32.01,32.6,1.4865
2008-05-03,44.041,7.644,23.57,27.59,49.78,2.2699
2008-05-04,1.845,7.971,23.53,27.86,74.8,3.4108
2008-05-05,0.0,8.163,23.67,28.16,95.68,4.3629
2008-05-06,0.0,9.504,23.6,29.39,108.8,4.9611
2008-05-07,0.0,7.706,23.96,28.01,80.6,3.6752
2008-05-08,2.456,7.756,23.65,27.8,66.8,3.046
2008-05-09,12.074,7.938,23.48,27.83,65.04,2.9657
2008-05-10,0.847,12.373,22.09,31.26,49.2,2.2434
2008-05-11,19.877,11.233,22.44,30.33,43.04,1.9626
2008-05-12,18.027,10.156,23.23,29.82,41.06,1.8723
2008-05-13,16.311,11.757,23.11,31.41,39.98,1.823
2008-05-14,11.401,10.66,23.94,30.92,40.34,1.8394
2008-05-15,0.0,10.712,23.94,30.99,42.32,1.9297
2008-05-16,22.221,7.946,23.71,28.1,46.1,2.1021
2008-05-17,12.405,9.525,23.65,29.59,54.7,2.4942
2008-05-18,4.765,7.799,23.6,27.9,96.5,4.4003
2008-05-19,12.749,8.796,24.13,29.28,128.2,5.8457
2008-05-20,11.248,9.105,23.54,29.11,105.2,4.797
2008-05-21,21.935,7.887,23.59,28.0,84.95,3.8736
2008-05-22,16.805,9.498,23.46,29.47,78.57,3.5827
2008-05-23,15.207,8.721,23.68,28.89,74.8,3.4108
2008-05-24,29.7,7.777,23.98,28.24,76.25,3.4769
2008-05-25,9.409,11.07,23.22,30.95,92.2,4.2042
2008-05-26,32.526,8.223,23.63,28.39,115.3,5.2575
2008-05-27,1.358,9.101,23.31,29.0,123.6,5.636
2008-05-28,12.877,8.035,23.77,28.35,131.1,5.978
2008-05-29,13.638,7.564,24.02,28.12,133.6,6.092
2008-05-30,12.01,9.11,23.75,29.39,140.6,6.4111
2008-05-31,3.881,9.745,23.19,29.6,149.8,6.8307
2008-06-01,18.41,7.619,23.3,27.58,151.6,6.9127
2008-06-02,9.982,5.927,22.99,25.8,151.6,6.9127
2008-06-03,23.853,9.495,22.42,28.76,158.2,7.2137
2008-06-04,0.0,8.799,22.6,28.2,168.3,7.6742
2008-06-05,0.0,8.713,22.76,28.24,176.8,8.0618
2008-06-06,1.134,6.643,23.07,26.52,186.3,8.495
2008-06-07,13.92,8.955,22.37,28.19,196.7,8.9692
2008-06-08,0.0,8.927,23.1,28.75,190.0,8.6637
2008-06-09,13.236,10.591,22.32,29.91,174.5,7.9569
2008-06-10,65.747,8.402,23.9,28.89,163.5,7.4554
2008-06-11,16.656,9.253,23.5,29.42,166.6,7.5967
2008-06-12,0.0,9.957,24.21,30.72,175.4,7.998
2008-06-13,0.0,11.886,23.03,31.88,189.4,8.6364
2008-06-14,8.855,9.548,23.65,29.86,196.7,8.9692
2008-06-15,4.144,10.201,22.78,29.87,196.2,8.9464
2008-06-16,1.774,8.448,23.84,28.91,181.6,8.2807
2008-06-17,15.648,7.847,23.87,28.35,172.3,7.8566
2008-06-18,6.53,7.003,23.64,27.37,163.9,7.4736
2008-06-19,0.99,9.059,23.42,29.18,153.8,7.013
2008-06-20,,,,,,
2008-06-21,,,,,,
2008-06-22,14.072,8.107,22.9,27.81,162.6,7.4143
2008-06-23,6.991,9.14,23.42,29.28,149.4,6.8124
2008-06-24,16.18,8.215,22.81,27.84,130.8,5.9643
2008-06-25,14.086,8.164,22.74,27.73,122.8,5.5995
2008-06-26,4.164,9.776,23.28,29.82,122.5,5.5858
2008-06-27,40.041,10.037,22.74,29.67,132.6,6.0464
2008-06-28,43.617,6.576,23.08,26.5,142.4,6.4932
2008-06-29,26.176,7.987,23.19,27.92,172.7,7.8749
2008-06-30,0.456,8.266,22.7,27.79,215.4,9.8219
2008-07-01,0.0,9.017,23.33,29.06,288.0,13.1324
2008-07-02,23.882,9.384,22.7,28.93,322.2,14.6918
2008-07-03,8.746,8.706,23.25,28.67,325.7,14.8514
2008-07-04,27.195,9.23,23.18,29.14,317.3,14.4684
2008-07-05,0.0,6.624,23.97,27.3,327.1,14.9153
2008-07-06,1.434,11.267,22.64,30.88,312.4,14.245
2008-07-07,7.852,9.867,23.22,29.82,282.2,12.8679
2008-07-08,0.0,7.91,23.77,28.29,251.0,11.4452
2008-07-09,19.725,9.036,22.72,28.55,237.8,10.8433
2008-07-10,24.808,8.895,22.55,28.25,224.8,10.2505
2008-07-11,0.0,7.296,22.41,26.55,208.7,9.5164
2008-07-12,0.925,6.593,22.87,26.29,197.8,9.0194
2008-07-13,4.777,11.082,22.24,30.32,191.0,8.7093
2008-07-14,32.886,7.745,23.47,27.87,195.2,8.9008
2008-07-15,4.585,9.583,22.84,29.16,195.7,8.9236
2008-07-16,0.0,10.737,22.51,30.12,189.4,8.6364
2008-07-17,0.0,11.276,22.59,30.74,178.2,8.1256
2008-07-18,11.194,10.563,22.81,30.14,163.5,7.4554
2008-07-19,21.933,7.176,22.95,26.84,171.4,7.8156
2008-07-20,0.0,10.632,22.63,30.05,139.7,6.3701
2008-07-21,0.364,9.919,22.71,29.34,126.1,5.75
2008-07-22,0.0,8.981,23.15,28.73,125.4,5.718
2008-07-23,0.0,10.045,22.83,29.55,121.4,5.5357
2008-07-24,46.275,8.948,23.9,29.28,108.8,4.9611
2008-07-25,0.0,6.743,23.61,26.98,95.1,4.3364
2008-07-26,35.093,8.395,23.53,28.42,101.6,4.6328
2008-07-27,7.567,11.059,22.68,30.45,129.9,5.9232
2008-07-28,13.582,7.994,22.72,27.35,157.3,7.1726
2008-07-29,21.802,9.666,23.09,29.29,185.8,8.4722
2008-07-30,11.498,10.007,22.91,29.48,208.2,9.4936
2008-07-31,0.728,10.743,23.58,30.75,216.0,9.8493
2008-08-01,0.0,8.89,24.01,29.23,205.0,9.3477
2008-08-02,0.883,10.343,23.39,30.17,183.2,8.3536
2008-08-03,11.905,7.627,23.52,27.62,162.6,7.4143
2008-08-04,11.905,9.819,23.24,29.5,138.9,6.3336
2008-08-05,1.889,11.485,23.43,31.34,112.4,5.1253
2008-08-06,22.201,7.707,22.56,26.86,103.4,4.7149
2008-08-07,0.0,10.634,22.72,29.88,99.28,4.527
2008-08-08,0.0,9.979,23.46,29.78,74.8,3.4108
2008-08-09,25.94,9.514,22.84,28.82,66.05,3.0118
2008-08-10,0.146,9.956,23.08,29.44,86.4,3.9397
2008-08-11,11.223,8.987,22.49,27.99,95.1,4.3364
2008-08-12,0.077,11.893,23.02,31.35,117.1,5.3396
2008-08-13,8.007,9.383,23.5,29.16,134.4,6.1284
2008-08-14,14.399,10.539,22.64,29.64,149.4,6.8124
2008-08-15,8.604,10.734,23.56,30.53,160.4,7.314
2008-08-16,0.582,9.895,23.16,29.36,164.8,7.5146
2008-08-17,7.706,10.677,23.94,30.75,149.4,6.8124
2008-08-18,11.147,9.465,23.41,29.12,132.2,6.0281
2008-08-19,29.401,9.113,23.13,28.56,127.2,5.8001
2008-08-20,3.265,10.923,22.57,29.9,136.2,6.2105
2008-08-21,4.577,12.326,23.36,31.93,158.2,7.2137
2008-08-22,12.033,9.841,23.43,29.47,180.9,8.2488
2008-08-23,0.0,11.018,23.16,30.42,182.7,8.3308
2008-08-24,31.125,11.718,23.6,31.45,162.6,7.4143
2008-08-25,3.659,11.394,24.09,31.5,140.6,6.4111
2008-08-26,6.017,10.125,23.98,30.15,127.5,5.8138
2008-08-27,0.0,12.208,23.3,31.7,109.5,4.993
2008-08-28,20.817,11.78,23.17,31.16,114.2,5.2073
2008-08-29,0.0,8.983,24.12,29.16,108.8,4.9611
2008-08-30,14.463,11.264,23.56,30.91,95.1,4.3364
2008-08-31,0.398,11.438,22.92,30.59,92.2,4.2042
2008-09-01,0.499,11.213,23.2,30.57,77.7,3.543
2008-09-02,0.0,11.081,24.4,31.36,60.2,2.745
2008-09-03,1.047,11.043,24.31,31.25,52.5,2.3939
2008-09-04,21.079,8.47,23.82,28.41,49.2,2.2434
2008-09-05,0.0,10.768,24.25,30.92,49.2,2.2434
2008-09-06,11.736,10.974,23.87,30.82,70.05,3.1942
2008-09-07,19.231,8.588,23.81,28.5,101.6,4.6328
2008-09-08,17.948,9.577,23.51,29.17,116.4,5.3077
2008-09-09,5.65,9.231,23.72,29.02,135.7,6.1877
2008-09-10,0.0,10.878,22.55,29.69,156.0,7.1134
2008-09-11,2.019,10.531,24.01,30.48,171.4,7.8156
2008-09-12,9.856,11.632,23.12,30.88,177.1,8.0755
2008-09-13,0.0,11.241,23.28,30.62,171.4,7.8156
2008-09-14,11.107,9.746,23.43,29.26,164.8,7.5146
2008-09-15,21.687,10.106,23.24,29.46,165.7,7.5557
2008-09-16,0.0,9.554,23.78,29.36,169.2,7.7153
2008-09-17,0.0,11.53,23.25,30.88,168.3,7.6742
2008-09-18,18.268,13.025,22.77,32.06,162.2,7.3961
2008-09-19,25.735,11.41,23.0,30.57,160.4,7.314
2008-09-20,1.643,10.235,23.91,30.12,163.5,7.4554
2008-09-21,5.886,11.579,23.98,31.5,174.9,7.9752
2008-09-22,23.442,10.014,22.99,29.19,187.4,8.5452
2008-09-23,0.0,11.334,22.68,30.27,200.4,9.1379
2008-09-24,0.204,10.701,24.71,31.22,192.6,8.7823
2008-09-25,11.043,10.525,23.64,30.21,175.8,8.0162
2008-09-26,0.0,9.444,23.46,29.03,147.2,6.7121
2008-09-27,0.0,10.481,24.26,30.66,114.2,5.2073
2008-09-28,0.0,11.896,23.3,31.34,97.27,4.4354
2008-09-29,17.92,11.094,22.97,30.28,89.01,4.0587
2008-09-30,7.71,11.584,23.46,31.16,85.24,3.8868
2008-10-01,7.781,10.048,23.75,29.87,78.57,3.5827
2008-10-02,0.253,11.663,23.95,31.63,70.74,3.2256
2008-10-03,0.0,11.728,23.82,31.6,64.38,2.9356
2008-10-04,6.981,10.147,24.12,30.29,61.74,2.8153
2008-10-05,13.599,9.732,24.9,30.53,67.68,3.0861
2008-10-06,2.459,10.9,24.12,31.05,69.0,3.1463
2008-10-07,40.758,8.234,23.23,27.78,86.4,3.9397
2008-10-08,0.837,11.566,23.34,31.13,116.0,5.2894
2008-10-09,0.0,11.836,23.23,31.34,126.1,5.75
2008-10-10,0.0,11.04,23.77,30.95,118.2,5.3897
2008-10-11,10.891,11.812,23.94,31.88,107.7,4.911
2008-10-12,28.05,10.191,23.38,29.82,95.1,4.3364
2008-10-13,9.382,10.134,23.95,30.23,127.6,5.8184
2008-10-14,34.628,10.346,23.91,30.43,203.0,9.2565
2008-10-15,0.0,12.449,24.0,32.64,206.6,9.4206
2008-10-16,8.419,11.964,24.4,32.47,204.0,9.3021
2008-10-17,13.178,9.868,24.56,30.52,210.8,9.6122
2008-10-18,7.168,10.549,24.06,30.8,216.5,9.8721
2008-10-19,3.388,11.87,24.2,32.27,233.4,10.6427
2008-10-20,11.032,10.21,23.65,30.17,222.2,10.132
2008-10-21,1.327,11.286,24.1,31.62,179.2,8.1712
2008-10-22,2.88,11.485,24.15,31.89,149.3,6.8079
2008-10-23,0.0,11.305,24.01,31.61,128.6,5.864
2008-10-24,0.997,12.977,22.22,32.08,107.0,4.879
2008-10-25,0.0,10.684,23.16,30.36,89.3,4.0719
2008-10-26,9.114,10.565,23.63,30.61,81.47,3.7149
2008-10-27,10.323,10.139,23.61,30.18,75.96,3.4637
2008-10-28,16.541,8.607,23.74,28.78,70.45,3.2124
2008-10-29,0.0,11.575,23.86,31.89,73.64,3.3579
2008-10-30,8.942,11.536,23.44,31.55,83.21,3.7942
2008-10-31,13.325,10.622,23.7,30.81,86.4,3.9397
2008-11-01,21.439,8.121,24.51,29.01,87.56,3.9926
2008-11-02,1.908,10.515,23.8,30.82,94.88,4.3264
2008-11-03,27.478,9.521,23.72,29.75,108.8,4.9611
2008-11-04,24.234,9.713,23.7,29.94,110.6,5.0432
2008-11-05,1.561,9.507,23.59,29.67,118.2,5.3897
2008-11-06,0.0,11.708,24.03,32.32,124.3,5.6679
2008-11-07,4.071,10.765,24.97,32.07,128.2,5.8457
2008-11-08,0.0,11.125,24.88,32.4,132.9,6.06
2008-11-09,0.0,11.74,24.3,32.62,128.6,5.864
2008-11-10,0.0,10.781,24.72,31.95,121.4,5.5357
2008-11-11,0.0,11.298,24.1,32.04,102.2,4.6602
2008-11-12,0.0,9.403,24.82,30.66,70.12,3.1974
2008-11-13,0.0,9.191,24.47,30.17,50.74,2.3137
2008-11-14,13.069,8.623,24.82,29.91,42.68,1.9461
2008-11-15,11.345,8.803,23.98,29.42,38.54,1.7574
2008-11-16,10.502,9.343,24.66,30.53,34.94,1.5932
2008-11-17,6.445,10.652,23.81,31.23,33.68,1.5358
2008-11-18,23.446,9.379,24.36,30.35,33.14,1.5111
2008-11-19,15.389,8.169,24.48,29.25,35.48,1.6178
2008-11-20,35.323,9.026,23.93,29.67,39.98,1.823
2008-11-21,15.49,9.069,24.18,29.93,44.3,2.02
2008-11-22,25.737,7.163,23.64,27.61,55.8,2.5444
2008-11-23,2.256,9.681,23.77,30.25,95.1,4.3364
2008-11-24,4.803,9.731,24.15,30.62,108.8,4.9611
2008-11-25,0.0,10.194,23.96,30.98,122.1,5.5676
2008-11-26,27.542,4.979,24.56,26.58,138.4,6.3108
2008-11-27,0.0,9.07,23.28,29.28,159.5,7.273
2008-11-28,0.0,10.257,24.05,31.15,173.2,7.8977
2008-11-29,1.774,9.933,24.6,31.25,185.3,8.4494
2008-11-30,0.0,9.204,24.78,30.64,176.9,8.0664
2008-12-01,0.0,9.902,24.73,31.34,163.9,7.4736
2008-12-02,0.094,10.263,23.38,30.68,140.6,6.4111
2008-12-03,1.199,9.752,23.91,30.56,107.0,4.879
2008-12-04,2.272,10.168,24.57,31.52,64.6,2.9457
2008-12-05,0.0,10.9,22.26,30.58,49.2,2.2434
2008-12-06,0.0,10.723,22.8,30.79,41.96,1.9133
2008-12-07,23.137,7.701,23.79,28.37,36.2,1.6507
2008-12-08,21.453,9.299,23.56,29.83,32.42,1.4783
2008-12-09,0.0,8.651,23.42,29.04,32.6,1.4865
2008-12-10,0.0,8.638,23.09,28.77,32.06,1.4619
2008-12-11,0.0,10.864,23.3,31.36,30.26,1.3798
2008-12-12,0.0,10.162,23.85,31.01,28.35,1.2927
2008-12-13,0.0,9.869,22.96,30.0,26.79,1.2216
2008-12-14,0.761,10.48,23.2,30.87,25.23,1.1504
2008-12-15,0.0,12.272,22.68,32.51,24.06,1.0971
2008-12-16,0.0,12.3,22.49,32.41,30.48,1.3898
2008-12-17,0.0,11.409,22.82,31.63,21.07,0.9608
2008-12-18,0.0,11.174,22.94,31.46,19.12,0.8718
2008-12-19,0.0,12.728,21.86,32.46,17.56,0.8007
2008-12-20,0.0,10.885,23.86,31.82,16.65,0.7592
2008-12-21,0.0,10.095,23.72,30.84,16.0,0.7296
2008-12-22,0.0,10.96,24.44,32.34,16.0,0.7296
2008-12-23,0.0,12.702,23.86,33.85,16.0,0.7296
2008-12-24,0.0,11.867,23.84,32.89,16.0,0.7296
2008-12-25,0.0,10.539,23.26,30.96,16.0,0.7296
2008-12-26,0.0,12.028,23.96,33.14,16.0,0.7296
2008-12-27,0.0,12.65,23.0,33.15,15.52,0.7077
2008-12-28,0.0,13.319,23.71,34.41,14.96,0.6822
2008-12-29,0.0,13.062,23.6,34.03,14.4,0.6566
2008-12-30,0.0,12.63,24.51,34.19,14.4,0.6566
2008-12-31,0.0,10.974,25.38,33.02,14.4,0.6566
